location_id,sensors_id,location,datetime,lat,lon,parameter,units,value,year,month,measurand
69675,875923,Jeddah-64673,2021-05-16T11:19:33-01:00,21.41645,39.221752,um010,particles/cm³,0.411,2021,5,
69675,875921,Jeddah-64673,2021-04-03T22:36:43-01:00,21.41645,39.221752,um100,particles/cm³,0.006,2021,4,
69675,414315,Jeddah-64673,2021-04-23T00:56:30-01:00,21.41645,39.221752,pm1,µg/m³,31.7,2021,4,
69675,414314,Jeddah-64673,2021-05-30T12:19:11-01:00,21.41645,39.221752,pm25,µg/m³,15.2,2021,5,
69675,875922,Jeddah-64673,2021-01-28T06:20:56-01:00,21.41645,39.221752,um025,particles/cm³,0.212,2021,1,
65623,402157,IRC-60621,2022-06-03T01:57:55-01:00,22.316,39.092,pm25,µg/m³,10.0,2022,6,
65623,897119,IRC-60621,2022-05-11T19:16:33-01:00,22.316,39.092,um025,particles/cm³,0.11,2022,5,
69675,414315,Jeddah-64673,2021-06-18T17:51:26-01:00,21.41645,39.221752,pm1,µg/m³,10.8,2021,6,
65623,402158,IRC-60621,2022-05-26T21:40:48-01:00,22.316,39.092,pm1,µg/m³,10.9,2022,5,
65623,897119,IRC-60621,2023-02-14T03:59:32-01:00,22.316,39.092,um025,particles/cm³,0.09,2023,2,
69675,875922,Jeddah-64673,2021-01-24T14:22:55-01:00,21.41645,39.221752,um025,particles/cm³,0.482,2021,1,
69675,875921,Jeddah-64673,2021-06-12T08:26:12-01:00,21.41645,39.221752,um100,particles/cm³,0.006,2021,6,
69675,414315,Jeddah-64673,2021-04-08T23:54:49-01:00,21.41645,39.221752,pm1,µg/m³,32.5,2021,4,
69675,875923,Jeddah-64673,2021-06-19T21:25:51-01:00,21.41645,39.221752,um010,particles/cm³,0.894,2021,6,
65623,402156,IRC-60621,2023-02-22T13:11:03-01:00,22.316,39.092,pm10,µg/m³,27.7,2023,2,
69675,875921,Jeddah-64673,2021-06-09T08:01:01-01:00,21.41645,39.221752,um100,particles/cm³,0.002,2021,6,
69675,875922,Jeddah-64673,2021-03-16T02:22:52-01:00,21.41645,39.221752,um025,particles/cm³,0.236,2021,3,
65623,402156,IRC-60621,2022-04-29T03:20:34-01:00,22.316,39.092,pm10,µg/m³,24.4,2022,4,
65623,402156,IRC-60621,2022-11-15T03:30:38-01:00,22.316,39.092,pm10,µg/m³,42.6,2022,11,
69675,875922,Jeddah-64673,2021-06-19T21:35:52-01:00,21.41645,39.221752,um025,particles/cm³,0.065,2021,6,
69675,875922,Jeddah-64673,2021-05-25T20:25:14-01:00,21.41645,39.221752,um025,particles/cm³,0.232,2021,5,
69675,875923,Jeddah-64673,2021-05-29T01:38:35-01:00,21.41645,39.221752,um010,particles/cm³,1.735,2021,5,
69675,414313,Jeddah-64673,2021-02-03T11:50:57-01:00,21.41645,39.221752,pm10,µg/m³,37.4,2021,2,
69675,875923,Jeddah-64673,2021-05-09T17:13:48-01:00,21.41645,39.221752,um010,particles/cm³,1.017,2021,5,
65623,402158,IRC-60621,2022-03-04T10:59:37-01:00,22.316,39.092,pm1,µg/m³,6.8,2022,3,
69675,414314,Jeddah-64673,2021-02-24T08:19:45-01:00,21.41645,39.221752,pm25,µg/m³,12.7,2021,2,
69675,414314,Jeddah-64673,2021-02-01T23:40:56-01:00,21.41645,39.221752,pm25,µg/m³,37.8,2021,2,
65623,402158,IRC-60621,2022-06-30T04:03:47-01:00,22.316,39.092,pm1,µg/m³,13.3,2022,6,
69675,875923,Jeddah-64673,2021-06-15T14:15:28-01:00,21.41645,39.221752,um010,particles/cm³,0.836,2021,6,
65623,402157,IRC-60621,2023-03-10T18:41:28-01:00,22.316,39.092,pm25,µg/m³,3.4,2023,3,
69675,875923,Jeddah-64673,2021-02-02T06:40:56-01:00,21.41645,39.221752,um010,particles/cm³,1.966,2021,2,
69675,414315,Jeddah-64673,2021-06-07T05:24:12-01:00,21.41645,39.221752,pm1,µg/m³,17.1,2021,6,
65623,402157,IRC-60621,2023-03-11T09:55:42-01:00,22.316,39.092,pm25,µg/m³,37.6,2023,3,
69675,414315,Jeddah-64673,2021-06-05T23:47:43-01:00,21.41645,39.221752,pm1,µg/m³,24.6,2021,6,
65623,402158,IRC-60621,2023-02-18T12:03:20-01:00,22.316,39.092,pm1,µg/m³,21.8,2023,2,
65623,897118,IRC-60621,2022-12-03T23:27:20-01:00,22.316,39.092,um100,particles/cm³,0.01,2022,12,
65623,402157,IRC-60621,2022-03-27T03:30:50-01:00,22.316,39.092,pm25,µg/m³,23.3,2022,3,
69675,414313,Jeddah-64673,2021-05-16T15:55:37-01:00,21.41645,39.221752,pm10,µg/m³,21.5,2021,5,
65623,402157,IRC-60621,2022-11-10T00:16:27-01:00,22.316,39.092,pm25,µg/m³,14.0,2022,11,
65623,897120,IRC-60621,2022-08-15T16:21:49-01:00,22.316,39.092,um010,particles/cm³,1.26,2022,8,
65623,402157,IRC-60621,2023-01-05T20:08:55-01:00,22.316,39.092,pm25,µg/m³,17.2,2023,1,
69675,875923,Jeddah-64673,2021-02-20T13:53:59-01:00,21.41645,39.221752,um010,particles/cm³,0.185,2021,2,
69675,414314,Jeddah-64673,2021-02-07T10:31:12-01:00,21.41645,39.221752,pm25,µg/m³,7.9,2021,2,
69675,875921,Jeddah-64673,2021-01-23T20:42:55-01:00,21.41645,39.221752,um100,particles/cm³,0.036,2021,1,
69675,875923,Jeddah-64673,2021-02-08T13:55:12-01:00,21.41645,39.221752,um010,particles/cm³,0.577,2021,2,
65623,402158,IRC-60621,2022-05-12T09:04:44-01:00,22.316,39.092,pm1,µg/m³,5.4,2022,5,
69675,875923,Jeddah-64673,2021-06-01T07:17:52-01:00,21.41645,39.221752,um010,particles/cm³,0.494,2021,6,
69675,875921,Jeddah-64673,2021-05-04T11:59:24-01:00,21.41645,39.221752,um100,particles/cm³,0.006,2021,5,
69675,875923,Jeddah-64673,2021-04-18T09:52:38-01:00,21.41645,39.221752,um010,particles/cm³,1.163,2021,4,
65623,402156,IRC-60621,2022-05-13T18:57:31-01:00,22.316,39.092,pm10,µg/m³,14.1,2022,5,
65623,897119,IRC-60621,2022-12-22T11:53:21-01:00,22.316,39.092,um025,particles/cm³,0.16,2022,12,
65623,897120,IRC-60621,2022-12-13T20:04:38-01:00,22.316,39.092,um010,particles/cm³,0.76,2022,12,
65623,402156,IRC-60621,2022-05-19T00:37:03-01:00,22.316,39.092,pm10,µg/m³,26.6,2022,5,
69675,414315,Jeddah-64673,2021-06-13T15:48:42-01:00,21.41645,39.221752,pm1,µg/m³,32.2,2021,6,
65623,897120,IRC-60621,2022-09-05T18:52:53-01:00,22.316,39.092,um010,particles/cm³,1.76,2022,9,
65623,897120,IRC-60621,2023-03-11T09:15:42-01:00,22.316,39.092,um010,particles/cm³,1.38,2023,3,
69675,875922,Jeddah-64673,2021-02-11T04:33:12-01:00,21.41645,39.221752,um025,particles/cm³,0.299,2021,2,
65623,897118,IRC-60621,2022-12-16T09:06:02-01:00,22.316,39.092,um100,particles/cm³,0.02,2022,12,
65623,402156,IRC-60621,2022-09-08T14:52:03-01:00,22.316,39.092,pm10,µg/m³,13.9,2022,9,
65623,402157,IRC-60621,2022-12-15T06:49:28-01:00,22.316,39.092,pm25,µg/m³,17.6,2022,12,
69675,414315,Jeddah-64673,2021-05-25T04:00:58-01:00,21.41645,39.221752,pm1,µg/m³,28.4,2021,5,
69675,875923,Jeddah-64673,2021-04-26T19:03:59-01:00,21.41645,39.221752,um010,particles/cm³,0.996,2021,4,
65623,402156,IRC-60621,2022-05-25T07:59:50-01:00,22.316,39.092,pm10,µg/m³,13.1,2022,5,
69675,414313,Jeddah-64673,2021-01-27T00:32:55-01:00,21.41645,39.221752,pm10,µg/m³,58.8,2021,1,
65623,897119,IRC-60621,2022-05-19T07:51:23-01:00,22.316,39.092,um025,particles/cm³,0.19,2022,5,
69675,414313,Jeddah-64673,2021-03-19T22:15:01-01:00,21.41645,39.221752,pm10,µg/m³,25.7,2021,3,
65623,402157,IRC-60621,2022-08-17T07:48:34-01:00,22.316,39.092,pm25,µg/m³,17.2,2022,8,
69675,875921,Jeddah-64673,2021-05-20T06:57:03-01:00,21.41645,39.221752,um100,particles/cm³,0.01,2021,5,
65623,402158,IRC-60621,2022-03-16T02:42:34-01:00,22.316,39.092,pm1,µg/m³,3.7,2022,3,
65623,897118,IRC-60621,2022-11-15T08:36:43-01:00,22.316,39.092,um100,particles/cm³,0.01,2022,11,
65623,402157,IRC-60621,2022-12-18T13:05:22-01:00,22.316,39.092,pm25,µg/m³,19.4,2022,12,
65623,402156,IRC-60621,2023-02-19T13:37:49-01:00,22.316,39.092,pm10,µg/m³,53.6,2023,2,
69675,414314,Jeddah-64673,2021-06-06T00:03:43-01:00,21.41645,39.221752,pm25,µg/m³,38.2,2021,6,
65623,897118,IRC-60621,2023-03-11T23:27:55-01:00,22.316,39.092,um100,particles/cm³,0.01,2023,3,
65623,402156,IRC-60621,2022-08-26T07:36:29-01:00,22.316,39.092,pm10,µg/m³,8.0,2022,8,
65623,402157,IRC-60621,2022-12-28T18:32:36-01:00,22.316,39.092,pm25,µg/m³,8.3,2022,12,
65623,402156,IRC-60621,2022-05-14T19:40:12-01:00,22.316,39.092,pm10,µg/m³,46.4,2022,5,
65623,402158,IRC-60621,2022-03-11T15:20:44-01:00,22.316,39.092,pm1,µg/m³,6.0,2022,3,
69675,414315,Jeddah-64673,2021-05-13T15:42:27-01:00,21.41645,39.221752,pm1,µg/m³,9.9,2021,5,
69675,414315,Jeddah-64673,2021-05-19T07:32:41-01:00,21.41645,39.221752,pm1,µg/m³,21.8,2021,5,
65623,402156,IRC-60621,2022-11-20T11:52:19-01:00,22.316,39.092,pm10,µg/m³,62.8,2022,11,
69675,875923,Jeddah-64673,2021-03-15T03:38:20-01:00,21.41645,39.221752,um010,particles/cm³,3.968,2021,3,
69675,414313,Jeddah-64673,2021-05-08T22:47:12-01:00,21.41645,39.221752,pm10,µg/m³,26.2,2021,5,
69675,875922,Jeddah-64673,2021-06-08T11:24:41-01:00,21.41645,39.221752,um025,particles/cm³,0.108,2021,6,
69675,414314,Jeddah-64673,2021-05-01T14:27:55-01:00,21.41645,39.221752,pm25,µg/m³,28.8,2021,5,
69675,414314,Jeddah-64673,2021-01-24T01:50:56-01:00,21.41645,39.221752,pm25,µg/m³,51.0,2021,1,
65623,402158,IRC-60621,2022-10-19T18:41:23-01:00,22.316,39.092,pm1,µg/m³,22.0,2022,10,
65623,897118,IRC-60621,2022-12-13T04:10:20-01:00,22.316,39.092,um100,particles/cm³,0.01,2022,12,
65623,897119,IRC-60621,2022-05-26T15:22:40-01:00,22.316,39.092,um025,particles/cm³,0.03,2022,5,
69675,875923,Jeddah-64673,2021-06-15T07:29:22-01:00,21.41645,39.221752,um010,particles/cm³,0.632,2021,6,
65623,897118,IRC-60621,2022-08-22T20:02:57-01:00,22.316,39.092,um100,particles/cm³,0.0,2022,8,
69675,875921,Jeddah-64673,2021-05-04T08:23:19-01:00,21.41645,39.221752,um100,particles/cm³,0.001,2021,5,
65623,402158,IRC-60621,2021-05-23T18:43:46-01:00,22.316,39.092,pm1,µg/m³,3.7,2021,5,
65623,402158,IRC-60621,2022-09-18T03:01:15-01:00,22.316,39.092,pm1,µg/m³,9.8,2022,9,
69675,414314,Jeddah-64673,2021-04-18T09:56:38-01:00,21.41645,39.221752,pm25,µg/m³,29.1,2021,4,
65623,897120,IRC-60621,2022-08-13T09:42:52-01:00,22.316,39.092,um010,particles/cm³,0.95,2022,8,
65623,402157,IRC-60621,2022-04-15T13:15:53-01:00,22.316,39.092,pm25,µg/m³,9.1,2022,4,
65623,897118,IRC-60621,2022-10-15T14:29:23-01:00,22.316,39.092,um100,particles/cm³,0.0,2022,10,
65623,402158,IRC-60621,2023-03-10T16:59:27-01:00,22.316,39.092,pm1,µg/m³,2.6,2023,3,
65623,897118,IRC-60621,2022-04-30T17:45:32-01:00,22.316,39.092,um100,particles/cm³,0.01,2022,4,
